Date,Pollster,Sample,Bulstrode,Lydgate,Vincy,Casaubon,Chettam,Others
3/20/24,Verity Insights,1507,37.6%,30.4%,20.9%,7.9%,NaN,3.2%
3/20/24,Capitol Opinion Research,1004,34.5,29.3,20.0,8.7,NaN,7.5
3/18/24,DemocracyMeter,708,36%,31%,18%,8%,NaN,7%
3/16/24,Policy Voice Polling,1457,41.8%,29.9%,19.7%,5.0%,NaN,3.7%
3/16/24,Bardi University,653,35.5%,29.8%,20.9%,NaN,NaN,13.9%
3/14/24,Pulse Analytics,2015,36.9%,28.2%,19.8%,NaN,NaN,15.1%
3/13/24,Verity Insights,1517,33.9%,30.8%,16.8%,7.0%,NaN,11.5%
3/11/24,Mandate Metrics,"1,914*",36.9%,24.3%,21.4%,6.3%,NaN,11.0%
3/11/24,DemocracyMeter,756,39%,31%,19%,NaN,NaN,11%
3/11/24,Mawmsey Reports,3033,32.9%,30.0%,21.0%,6.2%,NaN,10.0%
3/10/24,Civic Pulse,2615,33,26,22,NaN,NaN,18
3/10/24,Bardi University,664,36.1%,29.6%,22.4%,NaN,NaN,11.9%
3/9/24,Policy Voice Polling,1465,36.3%,26.0%,21.7%,7.8%,NaN,8.1%
3/6/24,Verity Insights,1573,33.1%,30.6%,19.2%,6.7%,NaN,10.4%
3/6/24,Capitol Opinion Research,981,37.9,30.3,18.9,1.9,NaN,11.0
3/4/24,DemocracyMeter,772,37%,31%,19%,4%,NaN,10%
3/4/24,Bardi University,677,33.9%,32.9%,19.4%,NaN,NaN,13.8%
3/2/24,Policy Voice Polling,1409,33.5%,29.6%,23.0%,7.1%,NaN,6.8%
2/29/24,Pulse Analytics,2037,33.5%,34.0%,18.3%,5.0%,NaN,9.2%
2/28/24,Verity Insights,1589,32.6%,33.2%,18.3%,6.5%,NaN,9.4%
2/27/24,Bardi University,660,32.4%,34.6%,20.3%,NaN,NaN,12.7%
2/26/24,Mandate Metrics,"2,036*",30.0%,30.0%,23.4%,NaN,NaN,16.6%
2/26/24,DemocracyMeter,706,35%,34%,19%,7%,NaN,5%
2/25/24,Civic Pulse,2541,33,33,20,7,NaN,7
2/24/24,Policy Voice Polling,1403,32.1%,31.5%,25.1%,4.8%,NaN,6.4%
2/23/24,University of Bellville-sur-Mer,1538,32.7%,36.4%,22.0%,5.8%,1.3%,1.7%
2/23/24,University of Bellville-sur-Mer,1538,33.1%,36.9%,22.3%,5.9%,**,1.8%
2/21/24,Verity Insights,1529,33.3%,35.2%,19.0%,6.4%,NaN,6.1%
2/21/24,Capitol Opinion Research,1020,33.5,31.3,21.9,5.0,NaN,8.3
2/21/24,Bardi University,675,31.7%,30.5%,19.7%,NaN,NaN,18.0%
2/19/24,DemocracyMeter,724,33%,35%,22%,6%,NaN,4%
2/17/24,Policy Voice Polling,1446,33.5%,33.9%,20.7%,7.3%,2.7%,1.9%
